Hydrophilicity,Charge,Sigma,FWater,FLi,FCl,FMg
1,6,4.346421,5318,1,190,0
1,9,1.346421,8372,50,463,46
1,9,1.846421,7128,43,368,30
1,9,2.346421,6275,26,293,11
1,9,2.846421,6037,28,315,8
1,9,3.346421,5972,16,321,2
1,9,3.846421,5423,3,295,0
1,9,4.346421,5034,2,255,0
1.2,-9,1.346421,1994,19,22,2
1.2,-9,1.846421,1766,8,24,8
1.2,-9,2.346421,1213,12,13,1
1.2,-9,2.846421,590,5,1,0
1.2,-9,3.346421,901,10,2,2
1.2,-9,3.846421,2683,27,7,8
1.2,-9,4.346421,4157,46,7,10
1.2,-6,1.346421,2573,21,36,7
1.2,-6,1.846421,2075,13,28,6
1.2,-6,2.346421,1157,13,13,4
1.2,-6,2.846421,1327,4,10,1
1.2,-6,3.346421,1399,13,4,1
1.2,-6,3.846421,4034,39,5,2
1.2,-6,4.346421,4441,40,2,2
1.2,-3,1.346421,3071,18,45,7
1.2,-3,1.846421,2457,9,44,8
1.2,-3,2.346421,1916,10,32,6
1.2,-3,2.846421,1830,11,17,2
1.2,-3,3.346421,2356,20,11,0
1.2,-3,3.846421,4714,26,13,0
1.2,-3,4.346421,4294,23,4,0
1.2,0,1.346421,4250,19,112,18
1.2,0,1.846421,3355,20,91,7
1.2,0,2.346421,2763,16,57,6
1.2,0,2.846421,2333,12,38,1
1.2,0,3.346421,3111,18,40,2
1.2,0,3.846421,5084,15,56,1
1.2,0,4.346421,4355,10,20,0
1.2,3,1.346421,4928,26,170,17
1.2,3,1.846421,4242,20,142,10
1.2,3,2.346421,3229,13,96,5
1.2,3,2.846421,3108,16,81,4
1.2,3,3.346421,4985,24,142,1
1.2,3,3.846421,5042,15,123,0
1.2,3,4.346421,5104,7,98,0
1.2,6,1.346421,5831,34,275,27
1.2,6,1.846421,5454,28,247,20
1.2,6,2.346421,4438,18,166,4
1.2,6,2.846421,4498,18,171,4
1.2,6,3.346421,5649,22,233,2
1.2,6,3.846421,5698,7,236,0
1.2,6,4.346421,5161,2,215,0
1.2,9,1.346421,6852,30,365,29
1.2,9,1.846421,5979,26,328,18
1.2,9,2.346421,5306,22,257,8
1.2,9,2.846421,5767,18,314,13
1.2,9,3.346421,5627,19,295,3
1.2,9,3.846421,5370,5,293,0
1.2,9,4.346421,5120,1,288,0
